epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,5168.79,0.33437,0.24577,0.8742,0.83463,0.85111,0.87929,0.50777,1.49241,0.66307,1.45328,0.00166149,0.00166149,0.00166149
113,5212.39,0.33185,0.24181,0.87483,0.81221,0.85235,0.86984,0.50214,1.49774,0.65896,1.46491,0.00158667,0.00158667,0.00158667
114,5254.79,0.32699,0.23817,0.87211,0.82217,0.85777,0.87066,0.49761,1.50093,0.65387,1.46465,0.00151336,0.00151336,0.00151336
115,5297.41,0.33207,0.24443,0.87611,0.8246,0.8558,0.86718,0.49376,1.50886,0.66576,1.46725,0.00144161,0.00144161,0.00144161
116,5340.74,0.33787,0.24801,0.87564,0.82793,0.84689,0.86682,0.49372,1.50118,0.66403,1.4614,0.00137143,0.00137143,0.00137143
117,5383.62,0.32824,0.23915,0.87472,0.8246,0.83829,0.86743,0.49098,1.50079,0.66756,1.46208,0.00130287,0.00130287,0.00130287
118,5426.5,0.3197,0.23538,0.86938,0.83109,0.84289,0.87314,0.49743,1.49292,0.65907,1.45231,0.00123596,0.00123596,0.00123596
119,5468.35,0.31977,0.23374,0.87062,0.81099,0.85103,0.86965,0.49462,1.49268,0.65838,1.46067,0.00117072,0.00117072,0.00117072
120,5509.88,0.3217,0.23307,0.87172,0.8396,0.82144,0.86937,0.49777,1.49393,0.66363,1.45603,0.00110718,0.00110718,0.00110718
121,5552.45,0.3226,0.23637,0.87151,0.82556,0.83309,0.86783,0.49343,1.49547,0.67156,1.45474,0.00104537,0.00104537,0.00104537
122,5595.59,0.31577,0.23468,0.86959,0.84255,0.82352,0.86609,0.49564,1.49095,0.66962,1.45179,0.000985311,0.000985311,0.000985311
123,5637.51,0.31115,0.22783,0.86733,0.83589,0.84043,0.86753,0.4947,1.48308,0.65919,1.4483,0.00092704,0.00092704,0.00092704
124,5680.84,0.3089,0.22734,0.86498,0.82314,0.84641,0.86552,0.48987,1.48854,0.66017,1.44827,0.000870577,0.000870577,0.000870577
125,5723.22,0.31291,0.23012,0.8684,0.82199,0.84534,0.86244,0.49025,1.48629,0.66394,1.44959,0.000815947,0.000815947,0.000815947
126,5766.42,0.3025,0.22474,0.86312,0.82963,0.83591,0.86424,0.49345,1.49013,0.67438,1.45147,0.000763174,0.000763174,0.000763174
127,5808.78,0.30371,0.22293,0.86439,0.83352,0.83559,0.86468,0.49436,1.48984,0.66463,1.4544,0.000712282,0.000712282,0.000712282
128,5849.85,0.29985,0.22198,0.86449,0.81433,0.85289,0.86338,0.49584,1.48554,0.6645,1.4485,0.000663292,0.000663292,0.000663292
129,5892.43,0.30679,0.22669,0.86615,0.83186,0.84413,0.86409,0.49299,1.48652,0.66254,1.44999,0.000616227,0.000616227,0.000616227
130,5937.64,0.30896,0.22547,0.86739,0.81399,0.85372,0.86253,0.49599,1.48431,0.65147,1.45044,0.000571106,0.000571106,0.000571106
131,5979.09,0.29845,0.21951,0.86419,0.82101,0.84467,0.86402,0.4979,1.48477,0.65409,1.45294,0.00052795,0.00052795,0.00052795
132,6021.35,0.30528,0.22382,0.86908,0.82238,0.84732,0.86678,0.49667,1.49024,0.65351,1.45633,0.000486777,0.000486777,0.000486777
133,6064.47,0.29843,0.22206,0.86696,0.81794,0.84667,0.86686,0.49865,1.48863,0.65431,1.45536,0.000447606,0.000447606,0.000447606
134,6106.92,0.28984,0.21612,0.86334,0.81497,0.84691,0.86632,0.49473,1.49156,0.66551,1.45075,0.000410454,0.000410454,0.000410454
135,6149.24,0.2932,0.21721,0.86528,0.83835,0.82392,0.86444,0.49741,1.48777,0.66248,1.45188,0.000375337,0.000375337,0.000375337
136,6191.59,0.29869,0.22041,0.86755,0.82014,0.84774,0.86691,0.49643,1.48692,0.65923,1.45257,0.00034227,0.00034227,0.00034227
