epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,10981.6,0.48588,0.36657,0.95079,0.76021,0.83367,0.83997,0.47186,1.53785,0.77021,1.58226,0.00134486,0.00134486,0.00134486
98,11100,0.50611,0.38367,0.95985,0.77235,0.80814,0.83038,0.46939,1.52283,0.78462,1.57692,0.00131888,0.00131888,0.00131888
99,11180.4,0.49107,0.37485,0.95042,0.77096,0.81209,0.84956,0.48511,1.50904,0.75714,1.5785,0.00129295,0.00129295,0.00129295
100,11254.6,0.49009,0.37095,0.95142,0.79083,0.80608,0.84234,0.47373,1.50984,0.76208,1.60004,0.00126708,0.00126708,0.00126708
101,11354.7,0.48642,0.36412,0.9578,0.76911,0.81611,0.84488,0.47858,1.5149,0.77033,1.60892,0.00124129,0.00124129,0.00124129
102,11481.8,0.48143,0.36081,0.94607,0.79024,0.80684,0.84495,0.47218,1.51449,0.773,1.58131,0.00121557,0.00121557,0.00121557
103,11572.4,0.47899,0.36084,0.94825,0.77131,0.817,0.83903,0.47029,1.5387,0.79608,1.60433,0.00118994,0.00118994,0.00118994
104,11660.9,0.48544,0.36264,0.95532,0.78991,0.78864,0.83578,0.46773,1.52331,0.80216,1.59337,0.00116441,0.00116441,0.00116441
105,11774.5,0.47197,0.35465,0.94324,0.75141,0.83059,0.8361,0.46187,1.55099,0.80359,1.60268,0.00113898,0.00113898,0.00113898
106,11839.1,0.45939,0.34434,0.93832,0.82154,0.79511,0.84865,0.47933,1.50799,0.75964,1.58041,0.00111366,0.00111366,0.00111366
107,11935.1,0.465,0.35209,0.94273,0.80157,0.80524,0.84663,0.47934,1.5029,0.75526,1.57459,0.00108846,0.00108846,0.00108846
108,12055.9,0.44878,0.34389,0.94079,0.77942,0.8253,0.84352,0.46922,1.51186,0.76549,1.57264,0.00106338,0.00106338,0.00106338
109,12159.2,0.45533,0.34116,0.93239,0.78752,0.8161,0.83375,0.46778,1.51391,0.75376,1.57741,0.00103844,0.00103844,0.00103844
110,12299,0.45456,0.33731,0.9348,0.77099,0.82641,0.84507,0.47733,1.51498,0.75223,1.56507,0.00101364,0.00101364,0.00101364
111,12382.1,0.45755,0.34253,0.94271,0.82036,0.79972,0.85267,0.47805,1.50393,0.7428,1.56522,0.000988983,0.000988983,0.000988983
112,12474.3,0.45998,0.34103,0.94178,0.75807,0.83614,0.84306,0.47704,1.49864,0.78242,1.58814,0.000964486,0.000964486,0.000964486
113,12563,0.4587,0.3456,0.935,0.78492,0.82296,0.8524,0.48963,1.50116,0.76225,1.57315,0.000940152,0.000940152,0.000940152
114,12659,0.46128,0.34534,0.94356,0.80142,0.80526,0.84823,0.47891,1.50687,0.74003,1.57687,0.000915989,0.000915989,0.000915989
115,12763.3,0.45297,0.34343,0.93673,0.77901,0.83502,0.8507,0.48696,1.50018,0.74552,1.59494,0.000892005,0.000892005,0.000892005
116,12860.4,0.44537,0.33516,0.93081,0.7803,0.81004,0.84095,0.48145,1.50746,0.75843,1.60197,0.000868207,0.000868207,0.000868207
117,12959.1,0.44836,0.33806,0.93683,0.77246,0.82651,0.84012,0.46438,1.52557,0.76632,1.61793,0.000844601,0.000844601,0.000844601
118,13064.2,0.44958,0.33911,0.93782,0.77103,0.82217,0.85193,0.47409,1.5076,0.76667,1.59491,0.000821195,0.000821195,0.000821195
119,13130.5,0.45132,0.33681,0.93759,0.79757,0.81135,0.84656,0.4766,1.49437,0.75538,1.58497,0.000797997,0.000797997,0.000797997
120,13242.2,0.4466,0.33649,0.93342,0.7834,0.82285,0.85343,0.48775,1.50009,0.75059,1.60453,0.000775013,0.000775013,0.000775013
121,13336,0.43612,0.32564,0.93265,0.79646,0.84759,0.86413,0.48593,1.51077,0.74098,1.60188,0.00075225,0.00075225,0.00075225
122,13404.9,0.44409,0.32871,0.93598,0.79364,0.83919,0.85411,0.48502,1.50007,0.75683,1.57183,0.000729715,0.000729715,0.000729715
123,13485,0.4355,0.32691,0.93433,0.78391,0.84937,0.86353,0.48727,1.48246,0.73093,1.56428,0.000707416,0.000707416,0.000707416
124,13548.1,0.42968,0.32174,0.92962,0.79044,0.83017,0.86512,0.49433,1.498,0.73007,1.58757,0.000685358,0.000685358,0.000685358
125,13626.5,0.42044,0.31367,0.91955,0.80287,0.7975,0.85566,0.48158,1.50869,0.75107,1.58696,0.000663549,0.000663549,0.000663549
126,13788.6,0.43195,0.32493,0.92411,0.78882,0.83369,0.85403,0.48678,1.49564,0.74947,1.58585,0.000641996,0.000641996,0.000641996
127,13888.3,0.42023,0.31516,0.91744,0.78116,0.81371,0.85427,0.47955,1.52187,0.75273,1.57982,0.000620704,0.000620704,0.000620704
128,14029,0.41975,0.31579,0.92314,0.79418,0.81196,0.85674,0.4817,1.50303,0.73542,1.5746,0.00059968,0.00059968,0.00059968
129,14145.3,0.43464,0.32321,0.92888,0.76897,0.83279,0.85163,0.4823,1.51714,0.74715,1.61106,0.000578931,0.000578931,0.000578931
130,14227.4,0.42133,0.31722,0.92632,0.7756,0.8424,0.8601,0.49243,1.4908,0.74543,1.57177,0.000558463,0.000558463,0.000558463
131,14338.4,0.4206,0.31504,0.92649,0.78277,0.82548,0.86025,0.4905,1.49122,0.72943,1.56662,0.000538283,0.000538283,0.000538283
132,14492.4,0.41795,0.31126,0.92513,0.76663,0.85743,0.86337,0.4955,1.49475,0.71638,1.57774,0.000518396,0.000518396,0.000518396
133,14626.3,0.41891,0.31162,0.92602,0.77886,0.83486,0.85554,0.49183,1.49259,0.72991,1.58088,0.000498808,0.000498808,0.000498808
134,14741.8,0.42241,0.3095,0.92896,0.80062,0.82213,0.84976,0.48516,1.49498,0.72633,1.58678,0.000479525,0.000479525,0.000479525
135,14846.9,0.42204,0.31519,0.9258,0.80692,0.82218,0.85628,0.48906,1.48788,0.71278,1.57682,0.000460554,0.000460554,0.000460554
136,14945.5,0.42325,0.31379,0.92404,0.82059,0.82335,0.85789,0.49158,1.50343,0.7188,1.56588,0.0004419,0.0004419,0.0004419
137,15032.6,0.39976,0.30164,0.91796,0.79953,0.83383,0.86293,0.48764,1.5048,0.73846,1.56827,0.000423569,0.000423569,0.000423569
